image,avg_r,avg_g,avg_b,dom_r,dom_g,dom_b,colorfulness,entropy,harris,edge_density,sharpness,Banksy
Harring5.jpg,192.54016961821895,181.6076636242808,125.71246760688382,253,248,226,106.89715594976803,220022351.8981388,799,0.0403839567100872,32.19501356041007,0
Harring17.jpg,115.8369506016466,136.6172846738442,154.20645292379143,255,255,255,61.145351578769926,1313310052.559275,1579,0.0503947646189571,35.00984026458377,0
Harring33.jpg,175.6898195510088,183.9179312304632,159.48407928388747,238,238,238,61.242024613272285,64512441.21333577,414,0.0712347257743677,40.70814625367055,0
Harring6.jpg,156.9149890625,145.31417864583332,96.17645416666667,245,245,243,130.7098798446494,1181950222.6099367,1250,0.0342963541666666,23.406848090277776,0
Harring28.jpg,203.1572924773022,159.33660992217898,156.95240434500647,255,255,255,94.26295647287849,296024149.77519,771,0.1177577821011673,78.69833765672287,0
Harring19.jpg,192.75331739707835,158.851203187251,130.24627888446216,233,232,228,120.36590253156209,306997443.99328554,753,0.0342576361221779,19.573292607348385,0
Harring30.jpeg,143.50750199532584,128.3237457388867,114.06247483453484,72,137,217,90.62114304859745,898720286.2239197,1059,0.0217049898191812,13.195188960104469,0
Harring2.jpg,111.4666075,146.03427175,174.06598375,211,210,205,67.02847455890023,3185489238.8179574,2000,0.006279,12.923252583333332,0
Harring27.jpg,159.86644101123596,150.3749859550562,144.4782893258427,215,210,204,35.87712816170277,210832996.30941,712,0.0685983146067415,38.19613951310861,0
Harring14.jpg,87.6854963671635,101.98199848179966,120.14107454845588,96,200,255,81.94086307424722,345581387.5203932,557,0.0958008506741532,56.77929865570992,0
Harring15.jpg,210.67151030324223,203.8617208984406,180.9517530613002,255,255,255,24.445517613559957,560453984.2075802,1419,0.0143348593470992,11.968760431734728,0
Harring43.jpg,181.4604584731601,125.157141466154,81.25530888686602,239,228,210,112.45690361326818,1204229048.3182294,1068,0.0841858801045247,52.87081878456041,0
Harring25.jpg,211.3897164351852,208.33519161522636,208.1301035236625,255,255,255,27.80492382924124,241541653.48541853,1440,0.0319264403292181,20.291177554869684,0
Harring9.jpg,196.67415094041783,157.82825831300957,128.704837844024,254,253,235,101.077979916819,290221410.5557753,807,0.0395938405196568,36.65411921167492,0
Harring1.jpg,207.41490146109413,187.6355368671424,183.67908002038732,255,255,255,73.34441655737912,350959736.5438113,981,0.0386765205572545,31.077155680144976,0
Harring18.jpg,185.10214326502916,183.22743292339777,176.3538205938824,245,240,234,5.313382558825653,2300152104.630285,1888,0.017893852621822,19.055687855866,0
Harring13.jpg,123.0986887755102,130.02473032069972,133.21174198250728,239,107,45,101.2737554257564,850090903.8430394,1400,0.0367886297376093,22.24168464528669,0
Harring22.jpg,149.81736141851107,114.64087399396378,110.05263858148894,1,1,3,91.66445622601684,2320002821.6373105,1988,0.0125299295774647,14.58692094232059,0
Harring34.jpg,136.2954873046875,140.85723193359374,108.39001806640626,236,235,241,123.98856696859336,1256358492.308503,1280,0.01762109375,17.0934697265625,0
Harring8.jpeg,171.51439911489214,143.06433144281172,17.741702113946893,180,34,35,119.12505858206312,135981100.4472937,431,0.3186388244392885,82.9949424966343,0
Harring29.jpg,204.736834375,202.5276171875,195.5227125,255,255,255,84.73599977280004,111668234.00786749,800,0.0465078125,26.245240104166665,0
Harring35.jpg,189.48326842105263,182.5508289473684,190.57290921052632,224,221,228,59.684575158794544,309553705.8022718,760,0.0360421052631578,20.06755614035088,0
Harring3.jpg,191.3177485,155.127406,69.079418,255,255,255,134.91316343743654,2200757013.8075223,2000,0.06135475,46.30091308333333,0
Harring12.jpg,166.9706238283938,153.98027549059157,157.00701184063783,254,253,235,77.93365721839109,307598039.2859354,804,0.0406690711782897,39.95402426131135,0
Harring26.jpeg,153.23994010855324,114.61928211198284,92.85318863421053,246,207,70,110.20517176445227,1740146237.0254605,1918,0.0202986334373195,18.10682532215379,0
Harring31.jpg,127.79797202797202,116.0182583041958,101.17948208041958,255,255,255,110.36233907005791,170585407.28910342,800,0.1114750874125874,60.94327141608392,0
Harring42.jpeg,131.86805748610007,103.43072068606035,38.54250148927721,198,80,34,97.6551104240558,1268905177.133499,1259,0.0632855937251787,38.67969660113847,0
